name,price,link
Samsung_Galaxy-A21s-128GB,"33,999 ",/Samsung_Galaxy-A21s-128GB
Samsung_Galaxy-A03-4GB,"30,799 ",/Samsung_Galaxy-A03-4GB
Samsung_Galaxy-A20s,"30,500 ",/Samsung_Galaxy-A20s
Samsung_Galaxy-A21s,"29,999 ",/Samsung_Galaxy-A21s
Samsung_Galaxy-A20,"28,500 ",/Samsung_Galaxy-A20
Huawei_Mate-20-Pro,"119,999 ",/Huawei_Mate-20-Pro
Huawei_Nova-9,"107,999 ",/Huawei_Nova-9
Huawei_P20-Pro,"99,999 ",/Huawei_P20-Pro
Huawei_Nova-8-Pro,"97,999 ",/Huawei_Nova-8-Pro
Huawei_P30,"89,999  ",/Huawei_P30
Huawei_Y9a,"43,999 ",/Huawei_Y9a
Huawei_Nova-7i,"41,999 ",/Huawei_Nova-7i
Huawei_Y9s-2019,"40,999 ",/Huawei_Y9s-2019
Huawei_P30-Lite,"39,999 ",/Huawei_P30-Lite
Huawei_Nova-3i,"36,999  ",/Huawei_Nova-3i
Huawei_Y7a,"35,999 ",/Huawei_Y7a
Huawei_Y9-Prime-2019,"33,999 ",/Huawei_Y9-Prime-2019
Huawei_Y8p,"32,200 ",/Huawei_Y8p
Huawei_Watch-GT,"29,999 ",/Huawei_Watch-GT
Huawei_Y7p,"28,999 ",/Huawei_Y7p
Huawei_MediaPad-T3-10,"28,699 ",/Huawei_MediaPad-T3-10
Huawei_Y7-Prime-2019-SE,"24,999 ",/Huawei_Y7-Prime-2019-SE
Huawei_Y7-Prime-2019,"22,999 ",/Huawei_Y7-Prime-2019
Huawei_Watch-Fit,"21,999 ",/Huawei_Watch-Fit
Huawei_Y6p,"20,899 ",/Huawei_Y6p
Huawei_Y6s,"19,800 ",/Huawei_Y6s
Huawei_Y6-Prime-2019,"18,999 ",/Huawei_Y6-Prime-2019
Samsung_Galaxy-A03,"27,999 ",/Samsung_Galaxy-A03
Samsung_Galaxy-A12-128GB,"27,500 ",/Samsung_Galaxy-A12-128GB
Samsung_Galaxy-M11,"24,999 ",/Samsung_Galaxy-M11
Samsung_Galaxy-A12,"24,999 ",/Samsung_Galaxy-A12
Samsung_Galaxy-A03s-4GB,"23,499 ",/Samsung_Galaxy-A03s-4GB
Samsung_Galaxy-A03s,"22,499 ",/Samsung_Galaxy-A03s
Samsung_Galaxy-A10,"21,999 ",/Samsung_Galaxy-A10
Samsung_Galaxy-A02s-4GB,"21,399 ",/Samsung_Galaxy-A02s-4GB
Samsung_Galaxy-A11,"18,999 ",/Samsung_Galaxy-A11
Samsung_Galaxy-A02s,"18,599 ",/Samsung_Galaxy-A02s
Samsung_Galaxy-A03-Core,"18,500 ",/Samsung_Galaxy-A03-Core
Samsung_Galaxy-A02-64GB,"17,899 ",/Samsung_Galaxy-A02-64GB
Samsung_Galaxy-A10s,"16,999 ",/Samsung_Galaxy-A10s
Samsung_Galaxy-A02,"16,699 ",/Samsung_Galaxy-A02
Samsung_Galaxy-A01,"15,999 ",/Samsung_Galaxy-A01
Samsung_Galaxy-Note-10-Plus,N/A ,/Samsung_Galaxy-Note-10-Plus
Samsung_Galaxy-Fold,N/A ,/Samsung_Galaxy-Fold
Samsung_Galaxy-S10,N/A ,/Samsung_Galaxy-S10
Samsung_Galaxy-Z-Fold-2,N/A ,/Samsung_Galaxy-Z-Fold-2
Huawei_MediaPad-T3-7,"16,700 ",/Huawei_MediaPad-T3-7
Huawei_Y5p,"14,100 ",/Huawei_Y5p
Huawei_Mate-10-Pro,N/A ,/Huawei_Mate-10-Pro
Huawei_Mate-10-Lite,N/A ,/Huawei_Mate-10-Lite
Huawei_Honor-9,N/A ,/Huawei_Honor-9
Huawei_Nova-3,N/A ,/Huawei_Nova-3
Huawei_Y9-2018,Price N/A ,/Huawei_Y9-2018
